Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
A1CF	APOBEC1 complementation factor	29974	10:50799421-50885675	2		10q11.23	yes		melanoma			E		oncogene	Mis				"ACF,ACF64,ACF65,APOBEC1CF,ASP,CCDS73133.1,ENSG00000148584.14,NM_001198819.1,NP_001185748"
ABI1	abl-interactor 1	10006	10:26746593-26860935	1	Yes	10p12.1	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"ABI-1,CCDS7150.1,E3B1,ENSG00000136754.17,NM_005470.3,NP_005461,NP_001334958.1,Q8IZP0,SSH3BP1"
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	25	9:130713946-130885683	1	Yes	9q34.12	yes		"CML, ALL, T-ALL"			L	Dom	"oncogene, fusion"	"T, Mis"	"BCR, ETV6, NUP214"			"ABL,CCDS35165.1,ENSG00000097007.17,JTK7,NM_007313.2,NP_009297,P00519,c-ABL,p150"
ABL2	"c-abl oncogene 2, non-receptor tyrosine kinase"	27	1:179099327-179229601	1		1q25.2	yes		AML			L	Dom	"oncogene, fusion"	T	ETV6			"ABLL,ARG,CCDS30947.1,ENSG00000143322.19,NM_007314.3,NP_009298,P42684"
ACKR3	atypical chemokine receptor 3	57007	2:236569641-236582358	1	Yes	2q37.3	yes		lipoma			M	Dom	"oncogene, fusion"	T	HMGA2			"CCDS2516.1,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,NM_020311.2,NP_064707,P25106,RDC1"
ACSL3	acyl-CoA synthetase long-chain family member 3	2181	2:222860934-222944639	1		2q36.1	yes		prostate			E	Dom	fusion	T	ETV1			"ACS3,CCDS2455.1,ENSG00000123983.13,FACL3,NM_004457.3,NP_004448,NP_001341088.1,NP_001341087.1,O95573,PRO2194"
ACSL6	acyl-CoA synthetase long-chain family member 6	23305	5:131949973-132011662	2		5q31.1	yes		"AML, AEL"			L	Dom	fusion	T	ETV6			"ACS2,CCDS34229.1,ENSG00000164398.12,FACL6,KIAA0837,LACS2,LACS5,NM_001009185.2,NP_001009185,Q9UKU0"
ACVR1	"activin A receptor, type I"	90	2:157736444-157875111	1	Yes	2q24.1	yes		DIPG			O	Dom	oncogene	Mis		yes	Fibrodysplasia ossificans progressiva	"ACVR1A,ACVRLK2,ALK2,CCDS2206.1,ENSG00000115170.13,NM_001347666.1,NP_001096,NP_001334595.1,NP_001334594.1,NP_001334592.1,Q04771,SKR1"
ACVR1B	Activin A Receptor Type 1B	91	12:51951701-51994217	1		12q13.13	yes		pancreatic cancer			E		TSG	"D, F, Mis, N"				"ACVRLK4,ALK4,ActRIB,CCDS44894.2,ENSG00000135503.12,NM_020328.3,NP_064733,P36896,SKR2"
ACVR2A	activin A receptor type 2A	92	2:147844517-147930824	1	Yes	2q23.1	yes		"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus"			E	Rec	TSG	"Mis, N, F"				"ACTRII,ACVR2,CCDS33301.1,ENSG00000121989.14,NM_001616.4,NP_001607,NP_001265508,P27037"
AFDN	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)"	4301	6:167827635-167970232	1		6q27	yes		AL			L	Dom	"oncogene, fusion"	T	KMT2A			"AF-6,AF6,CCDS78199.1,ENSG00000130396.20,MLLT4,NM_001291964.1,NP_001278893"
AFF1	"AF4/FMR2 family, member 1"	4299	4:86935002-87141054	1		4q22.1	yes		AL			L	Dom	fusion	T	KMT2A			"AF-4,AF4,CCDS54775.1,ENSG00000172493.20,MLLT2,NM_001166693.2,NP_001160165,P51825,PBM1"
AFF3	"AF4/FMR2 family, member 3"	3899	2:99551121-100106128	1		2q11.2	yes		"ALL, T-ALL"			L	Dom	"oncogene, fusion"	T	"KMT2A, RUNX1"			"CCDS33258.1,ENSG00000144218.18,LAF4,MLLT2-like,NM_001025108.1,NP_001020279,P51826"
AFF4	"AF4/FMR2 family, member 4"	27125	5:132875379-132963634	1	Yes	5q31.1	yes		ALL			L	Dom	"oncogene, fusion"	T	KMT2A			"AF5Q31,CCDS4164.1,ENSG00000072364.12,MCEF,NM_014423.3,NP_055238,Q9UHB7"
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7:91940867-92110673	2		7q21.2	yes		papillary thyroid			E	Dom	fusion	T	BRAF			"AKAP350,AKAP450,CCDS5622.1,CG-NAP,ENSG00000127914.16,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,NM_147185.2,NP_005742,NP_671714.1,PPP1R45,PRKA9,Q99996,YOTIAO"
AKT1	v-akt murine thymoma viral oncogene homolog 1	207	14:104769349-104794124	1	Yes	14q32.33	yes		"breast, colorectal, ovarian, NSCLC"			E	Dom	oncogene	Mis				"AKT,CCDS9994.1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC"
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19:40230317-40285395	1	Yes	19q13.2	yes		"ovarian, pancreatic"			E	Dom	oncogene	A				"CCDS12552.1,ENSG00000105221.16,NM_001626.5,NP_001617,P31751"
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000	1:243499720-243843282	2		1q44	yes		GBM			O		oncogene	A				"CCDS31077.1,ENSG00000117020.16,NM_005465.4,NP_005456,PKBG,PRKBG,Q9Y243,RAC-gamma"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12:111766922-111817529	2		12q24.12	yes		leiomyoma			M	Dom	fusion	T	HMGA2			"CCDS9155.1,ENSG00000111275.12,NM_000690.3,NP_000681,P05091"
ALK	anaplastic lymphoma kinase (Ki-1)	238	2:29192774-29921566	1	Yes	2p23.2	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma	"L, E, M"	Dom	"oncogene, fusion"	"T, Mis, A"	"NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1"			"CCDS33172.1,CD246,ENSG00000171094.17,NM_004304.4,NP_004295,Q9UM73"
AMER1	APC membrane recruitment protein 1	139285	X:64185117-64205744	1	Yes	Xq11.2	yes		Wilms tumour			O	Rec	TSG	"F, D, N, Mis"				"CCDS14377.2,ENSG00000184675.9,FAM123B,FLJ39827,NM_152424.3,NP_689637,Q5JTC6,RP11-403E24.2,WTX"
ANK1	ankyrin 1	286	8:41653225-41896762	2		8p11.21	yes		CCRCC			E			Mis				"ANK,CCDS47849.1,ENSG00000029534.20,NM_001142446.1,NP_001135918,P16157,SPH1"
APC	adenomatous polyposis of the colon gene	324	5:112737888-112846239	1	Yes	5q22.2	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"adenomatous polyposis coli; Turcot syndrome"	"E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS4107.1,DP2,DP2.5,DP3,ENSG00000134982.16,NM_001354901.1,NP_000029,NP_001341826.1,NP_001341827.1,NP_001341830.1,NP_001341828.1,NP_001341824.1,P25054,PPP1R46"
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	22:38982409-38992784	1	Yes	22q13.1		yes		breast cancer		E	Rec	"oncogene, TSG"	D				"CCDS13982.1,ENSG00000179750.15,FLJ21201,NM_004900.4,NP_004891,NP_004891.4,PHRBNL,Q9UH17"
AR	Androgen Receptor	367	X:67544036-67730619	1	Yes	Xq12	yes	yes	prostate			E	Dom	oncogene	Mis		yes	"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy"	"AIS,CCDS14387.1,DHTR,ENSG00000169083.16,HUMARA,NM_000044.3,NP_000035,NR3C4,P10275,SBMA,SMAX1"
